-121.448 37.5907,-121.278 38.255
-121.557 37.7404,-121.319 37.776
-121.557 37.7407,-121.328 37.7704
-121.557 37.5927,-121.336 37.739
-78.869 35.1473,-78.8251 35.1552
-78.8688 35.1476,-78.8253 35.1553
-78.825 35.1236,-78.7568 35.1472
-78.9544 34.9118,-78.6302 35.2474
-78.9544 34.9121,-78.6304 35.2474
-78.869 35.1473,-78.8251 35.1552
-78.8688 35.1476,-78.8253 35.1553
-78.825 35.1236,-78.7568 35.1472
-78.6302 35.2474,-78.552 35.3567
-81.6258 30.3162,-81.5248 30.4555
-81.6772 30.3284,-81.6759 30.3295
-81.6796 30.1864,-81.6412 30.1905
-81.6796 30.1868,-81.641 30.1908
-81.6765 30.3144,-81.6679 30.317
-81.6765 30.3143,-81.6679 30.3167
-94.5679 39.1232,-94.5583 39.1672
-94.5681 39.1232,-94.559 39.1671
-94.4721 39.22,-94.4218 39.2787
-94.4729 39.2201,-94.4251 39.277
-94.6006 39.1505,-94.491 39.3113
-94.6006 39.1504,-94.4906 39.3116
-94.5769 39.3107,-94.5429 39.3113
-94.5775 39.3109,-94.5429 39.3116
-94.6006 39.3071,-94.5769 39.3107
-94.6006 39.3074,-94.5775 39.3109
-94.5146 39.2075,-94.4906 39.3104
-94.5177 39.2074,-94.491 39.3104
-94.5177 39.3033,-94.5103 39.3104
-94.5836 39.3096,-94.5177 39.3113
-94.5146 39.3032,-94.5099 39.3104
-94.5828 39.3101,-94.5146 39.3116
-94.5836 39.3096,-94.5769 39.3107
-94.6006 39.3071,-94.5836 39.3096
-94.5828 39.3101,-94.5775 39.3109
-94.6006 39.3074,-94.5828 39.3101
-94.5596 39.1631,-94.5369 39.1743
-94.5594 39.163,-94.5368 39.1741
-94.2053 39.7889,-94.0481 40.1344
-94.2057 39.7889,-94.0485 40.1344
-81.5038 29.6526,-81.2767 30.1044
-81.5043 29.6524,-81.2769 30.1043
-81.5043 29.6524,-81.2769 30.1043
-94.6259 39.1649,-94.6249 39.1682
-94.6269 39.1645,-94.625 39.1705
-94.7408 39.3217,-94.6977 39.342
-94.741 39.3251,-94.7047 39.3418
-94.7712 39.1916,-94.7408 39.3458
-94.7047 39.3069,-94.6006 39.3251
-94.7711 39.1915,-94.741 39.3426
-82.8328 30.3059,-82.7946 30.3466
-90.7596 30.1204,-90.6498 30.1436
-90.759 30.1207,-90.6498 30.1437
-94.8208 39.143,-94.7987 39.1795
-94.671 39.143,-94.6633 39.147
-94.8212 39.143,-94.799 39.1797
-94.6708 39.143,-94.6604 39.1468
-94.8818 39.0915,-94.6073 39.1138
-94.8818 39.0918,-94.6073 39.114
-94.6583 39.044,-94.6073 39.0758
-94.6588 39.044,-94.6073 39.076
-94.6494 39.0918,-94.629 39.0963
-94.6494 39.0915,-94.6298 39.0961
-94.6583 39.044,-94.6462 39.0477
-94.6588 39.044,-94.6462 39.0478
-94.9087 39.0902,-94.6073 39.1138
-94.9087 39.0904,-94.6073 39.114
-94.6263 39.094,-94.6073 39.114
-94.6243 39.0957,-94.6073 39.1138
-94.8212 39.0436,-94.7712 39.1916
-94.8208 39.0436,-94.7711 39.1915
-94.6826 39.0441,-94.6508 39.1541
-94.6824 39.0441,-94.6506 39.1541
-94.6335 39.092,-94.6071 39.1001
-94.6352 39.0917,-94.6071 39.0994
-94.6225 39.0996,-94.6217 39.1027
-94.6188 39.1115,-94.6171 39.1138
-94.6353 39.0915,-94.6254 39.094
-94.6353 39.0918,-94.629 39.0922
-94.6243 39.0957,-94.6156 39.1138
-94.6139 39.1089,-94.6073 39.113
-94.6156 39.1087,-94.6073 39.1135
-83.4817 31.0299,-83.3969 31.3267
-83.482 31.0299,-83.3971 31.3267
-83.4817 31.0299,-83.3969 31.3267
-83.482 31.0299,-83.3971 31.3267
-103.61 46.8876,-103.232 46.9409
-103.61 46.8879,-103.232 46.9411
-85.8213 35.146,-85.7752 35.2224
-85.5762 40.0844,-85.5713 40.0919
-85.5713 40.0919,-85.569 40.1138
-83.56 31.3267,-83.4817 31.5962
-83.56 31.3267,-83.4817 31.5962
-95.1866 38.9967,-94.9087 39.0902
-95.1866 38.9968,-94.9087 39.0904
-95.1866 38.9968,-94.9087 39.0904
-98.0623 38.8709,-97.9288 38.8787
-98.0613 38.871,-97.9288 38.8785
-98.0623 38.8709,-97.9288 38.8787
-98.0613 38.871,-97.9288 38.8785
-84.7351 45.7629,-84.7321 45.7865
-84.7353 45.7627,-84.7321 45.7874
-82.9242 42.4507,-82.7306 42.7336
-82.9244 42.4507,-82.7306 42.734
-83.0848 42.4841,-82.9228 42.4956
-82.9242 42.4507,-82.7306 42.7336
-82.8455 42.6375,-82.7306 42.734
-82.8714 42.5534,-82.8466 42.6357
-82.9244 42.4507,-82.8731 42.5531
-83.0848 42.4841,-82.9281 42.4949
-84.3692 44.1618,-84.159 44.3031
-84.3692 44.1618,-84.1604 44.302
-99.5947 38.8625,-99.0393 38.9504
-99.5947 38.8623,-99.0393 38.9502
-99.5947 38.8625,-99.0393 38.9504
-99.5947 38.8623,-99.0393 38.9502
-99.3546 38.8986,-99.3178 38.9125
-99.3546 38.8983,-99.3178 38.9122
-84.0261 43.5228,-83.9402 43.911
-84.0256 43.5228,-83.9399 43.911
-84.0261 43.5228,-83.9402 43.911
